;Entite;Label;liste_contxt_gauche;liste_contxt_droit
494;Les Rouxey;LOC;"e des trêves. 
";, terre patrimo
495;Watteville;LOC;trimoniale des ;, valait dix mi
496;Modinier;LOC;eville, appelé ;. Néanmoins, qu
497;Alpes;LOC;e deux petites ;, deux pitons d
498;Doubs;LOC;ses sources du ;, Watteville im
499;Watteville;LOC;rces du Doubs, ; imagina de con
500;Dent de Vilard;LOC; au pied de la ;. Mais ce sauva
501;Riceys;LOC; habitants des ;, petit village
502;Dent de Vilard;LOC; au pied de la ; par une forte 
503;Riceys;LOC;du village des ; et maintinrent
504;Besançon;LOC;re en quittant ; au mois de mai
505;Décidément;LOC;t sur un lac ! ; un lac est ple
506;Watteville;LOC;ère, au fameux ;" ! 
– Ma foi, d"
507;Montons;LOC;er ses fautes. ; dans la barque
508;Jung-Frau;LOC; de Vilard, la ; de cette petit
509;Suisse;LOC;e cette petite ;". 
– Nous y voi"
510;Riceys;LOC;la commune des ; et moi, précis
511;Riceys;LOC;e le maire des ;, un républicai
512;Mademoiselle;LOC;"? fit-elle. 
– ";, les gens des 
513;Riceys;LOC;, les gens des ;, dit Modinier,
514;Modinier;LOC;es Riceys, dit ;, ont depuis lo
515;Riceys;LOC;es anciens des ;, que le terrai
516;Watteville;LOC; par l'abbé de ;. C'est la mort
517;Riceys;LOC;de menacer les ;". 
– C'est ce q"
518;Riceys;LOC;la commune des ; et les Rouxey,
519;Riceys;LOC;nit, maire des ;, voulait drama
520;Suisse;LOC;e frontière de ; et immortalise
521;Neufchâtel;LOC; originaire de ;". 
– Mon cher p"
522;Modinier;LOC;ue, j'approuve ;. Si vous voule
523;Chapitre;LOC;né la cause du ; contre la Vill
524;Watteville;LOC;bien celle des ; contre les Ric
525;Riceys;LOC;lle contre les ; ! D'ailleurs, 
526;Allons;LOC; ravissants... ; à Besançon, et
527;Besançon;LOC;ts... Allons à ;, et ne revenon
528;Écoutez;LOC;" l'a sauvé. 
– ";-moi, lui dit-e
529;abbé de Grancey;LOC;"ta mère ? 
– L'"; s'en chargera 
530;Savaron;LOC;oix à l'avocat ; aux prochaines
531;Watteville;LOC;ia le baron de ;". 
– Bah ! dit-"
532;– Bah !;LOC;"e Watteville. 
";" dit-elle. 
– E"
533;Watteville;LOC;aider pour les ;, ce ne serait 
534;Paris;LOC; serait rien à ;" ; mais ici ?.."
535;Saint-Germain;LOC;votre faubourg ;". 
– Eh ! croye"
536;Rupt;LOC;z à l'hôtel de ;, il s'y trouve
537;Watteville;LOC;ademoiselle de ; aurait encore 
538;Savarus;LOC;la mairie, dit ;, mais moraleme
539;Watteville;LOC;ademoiselle de ;, dit gravement
540;Savarus;LOC;Grancey quitta ; en lui lançant
541;hôtel de;LOC; le salon de l'; Rupt, et je n'
542;Rupt;LOC; de l'hôtel de ;, et je n'enten
543;Watteville;LOC;ours quand les ; et les Rupt le
544;Rupt;LOC;teville et les ; le demandent !
545;Pâle;LOC;"se de Soulas. 
"; comme un lis, 
546;Légitimiste;LOC;"égitimiste. 
– ";" ? 
– Avant 183"
547;Dauphin;LOC;es, bien vu du ; et de la Dauph
548;Dauphine;LOC;uphin et de la ;. Il eût été bi
549;Chavoncourt;LOC;re monsieur de ; de représenter
550;de Besançon;LOC;enter la ville ;". 
– Quel intér"
551;Amédée;LOC;antre ! se dit ; en sortant de 
552;Rupt;LOC; de l'hôtel de ;, cette fille n
553;Chavoncourt;LOC;". 
Monsieur de "; est un royalis
554;Angleterre;LOC;e les whigs en ;. Cette doctrin
555;Légitimistes;LOC;eillie par les ; qui, dans la d
556;Providence;LOC;nertie et à la ;. En butte à la
557;Chavoncourt;LOC;i, monsieur de ; parut aux gens
558;Chavoncourt;LOC;s. Monsieur de ;, homme très-es
559;Besançon;LOC;ès-estimé dans ;, représentait 
560;de Besançon;LOC; belles femmes ;. Pendant les s
561;Paris;LOC; que faisait à ; monsieur de Ch
562;Chavoncourt;LOC;is monsieur de ;. En hiver, ell
563;Chavoncourt;LOC;ison. Le jeune ;, âgé de vingt-
564;Vauchelles;LOC;mé monsieur de ;, pas plus rich
565;Amédée;LOC; plus riche qu';, et de plus so
566;Granvelle;LOC;ent ensemble à ;, ils faisaient
567;Chavoncourt;LOC;ec les petites ;, savait que ce
568;Vauchelles;LOC;r, monsieur de ; avait son plan
569;Chavoncourt;LOC;ée des petites ;, à laquelle un
570;Chavoncourt;LOC;alors le jeune ; et Vauchelles 
571;Vauchelles;LOC;Chavoncourt et ; avertiraient m
572;Chavoncourt;LOC;nt monsieur de ; du péril que l
573;Besançon;LOC;uis deux ans à ;. Le préfet éta
574;rue de Grenelle;LOC;qui font dire, ;, au Ministère 
575;Besançon;LOC;n bon préfet à ;. Ce préfet lut
576;Besançon;LOC;utres années à ;". 
Les Élection"
577;Italie;LOC;t enverrait en ; et les lettres
578;Watteville;LOC; la baronne de ;". 
Deux mois av"
579;Arcier;LOC; et des eaux d';, du beau-père 
580;Granet;LOC;r, de monsieur ;, cet homme inf
581;Besançon;LOC;t pu espérer à ;. En attendant 
582;Chapitre;LOC;te suprême. Le ; n'aimait pas m
583;Chavoncourt;LOC;as monsieur de ;" ; car le beau-"
584;Trahi;LOC;"ux prêtres. 
– "; !... s'écria l
585;La Préfecture;LOC;qua le prêtre. ; est au fait de
586;Bisontins;LOC;uirait sur les ;". 
– Oh ! je m'"
587;Rupt;LOC;e à l'hôtel de ;, vous ne savez
588;Barreau;LOC;e n'est pas au ;. Rarement l'av
589;Besançon;LOC; son arrivée à ;, en prenant de
590;la Provence;LOC;le gloire pour ; d'avoir deviné
591;État;LOC;e seul homme d'; qu'ait produit
592;de Besançon;LOC; des capacités ;, un chef-d'œuv
593;Bisontins;LOC;plaudi par des ;, il avait obte
594;de Besançon;LOC;s. Le commerce ; fit de l'avoca
595;Chavoncourt;LOC;ec monsieur de ;, afin de se co
596;Préfecture;LOC; travail de la ;. Trois ou quat
597;Savarus;LOC;aux clients de ; : « Le député 
598;Savarus;LOC;lus nuisible à ;, que déjà quel
599;Préfecture;LOC;eux était à la ; et non pas che
600;Angleterre;LOC;sique comme en ;, n'en sont pas
601;Anglais;LOC;profondes. Les ; font les chose
602;France;LOC; de poings, en ; elles se font 
603;Chavoncourt;LOC;t, monsieur de ; se présenta, p
604;Chavoncourt;LOC;x, monsieur de ; en obtint soix
605;Chavoncourt;LOC;de monsieur de ; réunies aux qu
606;Théâtre une répétition générale;LOC;s ce qu'est au ;, ce qu'il y a 
607;Savarus;LOC;ls apprirent à ; par l'interméd
608;Magdeleine;LOC;on digne de la ;. Des larmes ro
609;porte d';LOC;tentirent à la ;Albert, il alla
610;– Pardon;LOC;" que sublime. 
";, cher abbé, ma
611;Besançon;LOC; veux mourir à ;". 
-- Venez la "
612;Venez;LOC;" Besançon. 
-- "; la voir ? s'éc
613;Argaiolo;LOC; la duchesse d'; qu'il éclaira.
614;Rupt;LOC;s à l'hôtel de ;" ; mais vous ir"
615;Préfecture;LOC;nt voix, et la ; n'en a que cen
616;Chavoncourt;LOC;de monsieur de ;, reprit l'abbé
617;Sidonie de Chavoncourt;LOC;z mademoiselle ;". 
– Jamais ! 
"
618;Sidonie de Chavoncourt;LOC;z mademoiselle ;, répéta froide
619;Chavoncourt;LOC;z mademoiselle ;, répéta froide
620;Rupt;LOC;n à l'hôtel de ; madame de Chav
621;de Besançon;LOC;l'aristocratie ;. Amédée de Sou
622;Vauchelles;LOC;e de Soulas et ;, qui voteront 
623;Chavoncourt;LOC;urné madame de ; ? demanda Sava
624;Chavoncourt;LOC;é. Monsieur de ;, qui a trois f
625;Vauchelles;LOC;sa fortune. Si ; épouse la prem
626;Sidonie;LOC; deux autres ? ; a seize ans, e
627;Paris;LOC; de l'argent à ;. Ce quelqu'un 
628;Chavoncourt;LOC;mène madame de ;, et madame de 
629;Assez;LOC;"e son mari. 
– ";, cher abbé ! J
630;Chapitre;LOC;t triompher le ;, dit en souria
631;Watteville;LOC; la baronne de ; étaient rempli
632;Rupt;LOC;a fille des de ;. On savait que
633;Sidonie;LOC; seconde fille ;, mise divineme
634;abbé de Grancey;LOC;en province. L'; montrait sa be
635;État;LOC;ancien homme d'; septuagénaire,
636;Toulouse;LOC;e Fitz-James à ;. — Vous ferez 
637;Etc;LOC;juste-milieu ! ;"., etc. 
A neuf"
638;Sidonie;LOC; mariage entre ; et monsieur de
639;Chavoncourt;LOC;ient madame de ; et l'abbé de G
640;Godenars;LOC;t et l'abbé de ;, autre vicaire
641;Chavoncourt;LOC;demoiselles de ; et monsieur de
642;Vauchelles;LOC;et monsieur de ;, l'abbé de Gra
643;de Besançon;LOC; haute société ; qui tenait bea
644;abbé de Grancey;LOC;ert Savarus. L'; se mit à côté 
645;Sidonie;LOC;e mariage avec ;" ! 
Le lendemai"
646;Mademoiselle;LOC;" de sa vie. 
– ";, il est arrivé
647;Paris;LOC; est arrivé de ; dans la matiné
648;Préfecture;LOC;llé droit à la ;, et de là chez
649;Saint-Vier;LOC; de feu madame ;, puis il a com
650;Besançon;LOC;t que fit dans ; la disparition
651;Chavoncourt;LOC;n, monsieur de ; fut nommé d'em
652;Besançon;LOC;qui existent à ; contre les étr
653;Argaiolo;LOC; mort du duc d';". 
Au mois d'av"
654;Riceys;LOC;la commune des ; en fixant mes 
655;base de la Dent de Vilard;LOC;à partir de la ;. On y creuse u
656;Watteville;LOC;ademoiselle de ;, reprit Philom
657;Rupt;LOC; de l'hôtel de ; leur était dev
658;Besançon;LOC;rit alors dans ; que mademoisel
659;Watteville;LOC;ademoiselle de ; avait positive
660;Modinier;LOC;éder un jour à ;. Le baron répa
661;Chartreuse;LOC;a, restaura la ; au goût de sa 
662;Besançon;LOC;disait-on dans ;". 
Après avoir "
663;Besançon;LOC;quinze août, à ;, pour y rester
664;Tenez;LOC;re mon mari... ;", lisez ? 
Elle"
665;Florence;LOC;la rubrique de ;", au 25 mai. 
«"
666;Florence;LOC;nt la ville de ;. La fortune de
667;Argaiolo;LOC; la duchesse d'; est une des pl
668;l'Italie;LOC;nsidérables de ;, car le feu du
669;Besançon;LOC;val, l'un pour ;, l'autre pour 
670;de Besançon;LOC;ien et médecin ;, ils trouvèren
671;Watteville;LOC;nt monsieur de ; dans un état d
672;Riceys;LOC;du médecin des ;. La peur déter
673;Besançon;LOC; était resté à ;, fut attribuée
674;Watteville;LOC;u ! Le dernier ; fut enterré da
675;lac des Rouxey;LOC;ans un îlot du ;, où la baronne
676;Père-Lachaise;LOC;t d'Héloïse au ;". 
Un mois aprè"
677;Rupt;LOC;t à l'hôtel de ; dans un sauvag
678;Argaiolo;LOC;anger du duc d';, celle où elle
679;Français;LOC; changement du ; faussement inf
680;Argaiolo;LOC; mort du duc d'; par la nouvell
681;Sentez;LOC; à sa probité. ;-vous tout ce q
682;Providence;LOC;pensée, que la ; prend alors so
683;Enfance;LOC;que celle de l'; innocente. Je 
684;Argaiolo;LOC; la duchesse d';, est venu rede
685;Heureux;LOC;" heureux... 
– "; ?... il ne vou
686;– A;LOC;"ment de tête. 
"; votre mère, re
687;Paris;LOC;uin, notaire à ;, son ami d'enf
688;Besançon;LOC;nnequin vint à ; muni d'une pro
689;GRANCEY;LOC;IEUR L'ABBÉ DE ;", 
vicaire-géné"
690;diocèse de Besançon;LOC;ire-général du ;". 
Paris. 
» Hé"
691;Paris;LOC;" de Besançon. 
";". 
» Hélas ! mo"
692;Grande-Chartreuse;LOC;st novice à la ;, près Grenoble
693;Grenoble;LOC;artreuse, près ;. Vous savez en
694;Argaiolo;LOC; la duchesse d';, maintenant du
695;Belgirate;LOC;é bien loin. A ;, où elle n'éta
696;Londres;LOC;'elle habitait ;. De Londres, A
697;Londres;LOC;it Londres. De ;, Albert alla c
698;Naples;LOC;sa maîtresse à ; et de Naples à
699;Naples;LOC;à Naples et de ; à Rome, où ell
700;Rome;LOC;et de Naples à ;, où elle s'eng
701;Florence;LOC;iolo, ce fut à ;, au moment où 
702;Paris;LOC; son passage à ;" ; et si vous l"
703;GRANCEY;LOC;IEUR L'ABBÉ DE ;", 
vicaire-géné"
704;diocèse de Besançon;LOC;ire-général du ;" . 
De la Grand"
705;Grande-Chartreuse;LOC;"ançon . 
De la ";". 
« J'ai recon"
706;Novembre;LOC;"ère ALBERT. » 
";" 1836. 
– Peut-"
707;Chartreux;LOC;voit point les ;. Et d'ailleurs
708;Chartreuse;LOC;ut entrer à la ;, dit l'abbé. A
709;Paris;LOC;ur de Soulas à ;, où elle alla 
710;Paris;LOC;bonnement voir ; pour se donner
711;Watteville;LOC;ademoiselle de ;, qui d'ailleur
712;Watteville;LOC;ademoiselle de ; était encore u
713;Paris;LOC;t les modes de ;, furent-elles 
714;Rupt;LOC;ntions à la de ;, ses fiertés m
715;Paris;LOC;ui l'amenait à ;. Elle voulait 
716;Rhétoré;LOC;la duchesse de ;, voir cette me
717;Liste civile;LOC; de l'ancienne ;, depuis 1830. 
718;Grande Chartreuse;LOC; cloître, à la ;, un homme d'un
719;Watteville;LOC;ademoiselle de ;, la fameuse hé
720;de Besançon;LOC;euse héritière ;"... 
La duchess"
721;Rhétoré;LOC;le duchesse de ;". 
« Si vous vo"
722;Opéra;LOC;ez au bal de l'; mardi prochain
723;Italienne;LOC;la malheureuse ; au bal où Phil
724;Besançon;LOC;avec sa mère à ;". 
Mademoiselle"
725;Besançon;LOC;is par hiver à ;, occupée à fai
726;Chavoncourt;LOC;it-il au jeune ;. Pour bien con
727;Grande-Chartreuse;LOC;urailles de la ;. Peut-être vou
728;Besançon;LOC;1, elle quitta ; dans l'intenti
729;Loire;LOC; trouva sur la ; dans le bateau
730;Paris;LOC;" religieuses. 
";", mai 1842. 
"
