;Entite;Label;liste_contxt_gauche;liste_contxt_droit
478;Faut;LOC; ma naissance? ;"—it un blason
a"
479;Visconti;LOC;"a—a, ﬂu-
nova. ";. Trîvulzio, Ur
480;Trîvulzio;LOC;ova. Visconti. ;, Ursiui sont é
481;Ursiui;LOC;ti. Trîvulzio, ; sont écrits ra
482;j’;LOC;e boutiquière, ;ai les senﬁmens
483;j’;LOC;" avec ﬁnesse.

";ai voulu vous f
484;Rliigi;LOC;" du Pilote,
le ";, et ce magniﬁq
485;vous‘t;LOC; bienl qu’avez—; dit—elleen qui
486;eûtadou—;LOC;ns voir ce qui ;"
ci son, agente"
487;croyez--;LOC;endrie. C’est, ;" ,
moi,—reprit—"
488;l’;LOC;"amour,
enﬁn de ";avoir bien tout
489;Française;LOC;"lien—
ne de la ";.Les ceux, la t
490;Rodolpheles;LOC; rappeläient à ;"
conditions dan"
491;l’;LOC;uce ivresse de ;âme, devait êtr
492;Luccrno;LOC;que ven—ait de.;"; Gina, qui dep"
493;Son;LOC;"stant

ﬁdèle à "; rôle de muette
494;Italien;LOC;ltalienne et l’; parièr'entavec
495;l’;LOC;"avait à

peiùe'";ltalitjn des li
496;Retournez;LOC;"ieu
à Tito.

— "; promptement à 
497;Gersau;LOC; promptement à ;, dit—elle aux 
498;l’;LOC;"e quand il vit
";Italienne achev
499;Iibertal;LOC;"lettre.

—— La "; fit—elle avec 
500;E;LOC;" d’artiste.

— "; denarol répond
501;état;LOC;e secrétaire d’; au départen1en
502;"Saint—
Gothard";LOC;u venir par le ;, ni par le Mon
503;Mont—Cenis;LOC;ard, ni par le ;, ni par le Sim
504;Simplon;LOC;nis, ni par le ;": il est
venu p"
505;Marseille;LOC; par mer, par' ;, il a dû trave
506;la France;LOC;a dû traverser ;".
Enﬁn, dans tr"
507;Genève;LOC; nous serons à ;", et nous
y viv"
508;—elle;LOC;, Rodolphe. dit;" en voyant la
t"
509;parisien,,le;LOC;r le visage du ;" lac de
Genève "
510;"lac de
Genève";LOC;u parisien,,le ; ne vaudra-Ht p
511;lac des Quatre—Can—;LOC;Ht pas bien le ;"
tons?…

—— Per"
512;promon—;LOC;en montrant le ;"
toire. '

-— V"
513;Sieilet;LOC;tite chèvre de ; fit Francesca 
514;l’;LOC;"ndit
la main à ";Italienne, la r
515;l’;LOC;"de

surprise à ";aspect du prodi
516;Ilalien;LOC;"t conservé,
un "; sec. droit com
517;sardo—;LOC; sourire quasi ;"
nique, le sour"
518;Paris;LOC; !' jejouais à ;" du temps
de l’"
519;l’;LOC;"is du temps
de ";empire, avec Bo
520;Bouirienne;LOC;l’empire, avec ;, madame Murat,
521;contre—sens;LOC;ion virile, un ; en Italie, il 
522;Italie;LOC;contre—sens en ;, il m’eût fall
523;l’;LOC;observateur de ;"homme dopé.

_—"
524;l’;LOC;, lui dit—1131 ;"oreille,

ALBER"
525;j’;LOC;tune parce que ;étais libérale!
526;Français;LOC;"a, monsieur le
";? Mais ils sont
527;char—;LOC;aimait pour un ;"
mantjeune homm"
528;s’;LOC;eune homme. Il ;est passé son é
529;Serait;LOC;"a Rodolphe.

— ";—elle légère? s
530;l’;LOC;être promis de ;"obser—
ser. L’a"
531;Français;LOC;lion. Le jeune ; reconnut en Fr
532;éj;LOC;" d’un rien...

";" !

— Vous aime"
533;Gersau;LOC;sir de quitter ; où beaucoup de
534;j’;LOC;Moil d1t elle, ;aime le luxe co
535;baie de Naples;LOC;journée, ou la ;. Emilio, dit—e
536;Emilio;LOC;aie de Naples. ;", dit—elle, me
"
537;Genève;LOC;"—
compagniez à ";. Genève est un
538;Genève;LOC;niez à Genève. ; est une villeà
539;ê1reca_lomni;LOC;"
.no v1=uv pas ";,é1= non pourm0
540;Genève;LOC; vir=ndrez‘ (( ;", v0yez (l’ a-
"
541;v0yez;LOC;ez‘ (( Genève, ;" (l’ a-
bord mo"
542;"lac
’";LOC;ar les eaux du ;où l_’altenda_i
543;hell(=;LOC;’altenda_it la ; llalienn(=, il
544;Genève;LOC;"is
d’octobre à "; Pour éviter le
545;à—;LOC;utier, si! _n ’;"
lait pas venu "
546;Genève;LOC;"es
Milana1s, à ";". _
_ — Nop, qu"
547;Villa-Diodeti;LOC;située mtre la ; et la campagne
548;voulez,—;LOC;" ou, si
' vous "; $Ï l1en, ancie
549;Ï;LOC;vous voulez,— $; l1en, ancien p
550;Genève;LOC;"niers V( nus à
";, et ils ne son
551;Naples;LOC;"s
et du roi de ";", ""la permissio"
552;Genève;LOC;e résider 1ci. ;" ne veut rien
1"
553;Russes;LOC;ers 1c1' . des ;", des
Anglais. "
554;Anglais;LOC;"es Russes, des
";". ‘ ' .
‘_ — Il"
555;Genevois;LOC;y (_i mémé des ;". '
-— Oui, mon"
556;Villa-l)îodali;LOC;environ, à_ la ;", ue
maintenant"
557;Ferney;LOC;"» Loppet comme
";". '

-.- Vous” "
558;Milan;LOC;n librairie de ; et sa f(11'1me
559;t_l';LOC;" naturellement
";a Vill_ Diodeti
560;Chemin;LOC;e du génie. Le ;" qui
des Eaux—V"
561;Eaux—Vlves;LOC;"Chemin qui
des "; c'ôtoiè le lac
562;lac de Genève;LOC;ves c'ôtoiè le ; est, comme tou
563;Suisse;LOC;l'es routes de ;, ass ez_ _étrl
564;Pourvu;LOC;"s le passé.

— ";, se dit entinl
565;Ila11enne;LOC;çcio pour un(. ;".
Ma1s quel cra"
566;Jura;LOC;"alt Genève,
le "; et ses colline
567;Eaux—Vives;LOC; lentement aux ;",
préoccupe de "
568;i’;LOC;ue' immense qu ;l fût dejà, se 
569;Gersàu;LOC; sa conduite à ;. L’air naturel
570;la prin—;LOC;le mystère que ;"
cesse Gandolph"
571;tendresse;LOC;able preuve de ;. 1911 ne' voul
572;A;LOC;"omprendre. - —
"; la maison Jeah
573;Enhn;LOC;"Gandolphini !

";, il entra dans
574;Costume de bal;LOC;Elle (était en ;",
laissant admi"
575;lille;LOC;ille de jç=une ;, et des bras d
576;Anglaises;LOC;" 'il y eût des
"; et des Russes 
577;"f(1‘11mes

de Genève";LOC;=s plus jbl1es ;, et d‘autres i
578;"brillàiÎz

l’1llust'";LOC;mi 1e>quéll'es ;re' princr=ss«=
579;concentree;LOC;olonte humaine ; dans ce sentim
580;teg«æ;LOC;e Rodolphe. Un ; freinissemcnt 
581;l’;LOC;olphe en ayant ;air de lui dema
582;gracieuse—;LOC;, qui l’amener ;"
ment à sa femm"
583;Tinti;LOC;r elle, par la ;, par Génovèse,
584;l’;LOC;"des princes
de ";"art. '

-—' Ass"
585;Oimèl;LOC;chaise à elle. ; je crois qu’il
586;l’;LOC;par la gaze de ;"écharpe.
Mais q"
587;l’;LOC;"e rattachant à
";avenir. On a se
588;Rodol-;LOC;issanè«+ entre ;"
ph‘e et France"
589;l’;LOC;es qui relient ;avenir au passé
590;attachemens;LOC;antaut-œur les ;" réels. Peut-
ê"
591;notre exis—;LOC;ens heureux de ;"
tence, lui‘qui"
592;l’;LOC; sccrète‘rﬁent ;"a-
mont! ' . _ "
593;A;LOC;" . _ ' , . _ _
"; près le plaisi
594;Tinti;LOC;"de jalousie
la ";, tant elles.ﬁ:
595;puis—;LOC;s.—î, toute sa ;"
sance de désir"
596;Spéciale;LOC; cette l‘aime“ ; de son âm:, se
597;Méditerranée;LOC;"ble doré
de la "; sous l’onde. E
598;l’;LOC;iterranée sous ;onde. Enﬁn, la 
599;aspira—;LOC;ﬁn, la moindre ;"
tion de Rodolp"
600;Français;LOC;"i naturels
aux "; dans l’express
601;l’;LOC; Français dans ;expression de l
602;Tinti;LOC;"a vie comme la
";, et qui peut d
603;plin—;LOC;le beau nom de ;"*
cesse Gandotp"
604;remarqua—;LOC;ommes les plus ;"
bles de mon pa"
605;l’;LOC;"due au delà de
";Italie: Elle ca
606;Italie;LOC;"e au delà de
l’";: Elle cache so
607;"vieuX château des
Colonna";LOC;menée «dans le ;. Cette riche h
608;cloî—;LOC;rd destinée au ;"
tre, étant le "
609;Sicile;LOC;riétaires dela ;, Francesca lui
610;C0'—;LOC;e famille. Les ;"
tonne et les G"
611;Gandohuhini s’;LOC;"—
tonne et les ";étaient toujour
612;mo‘n';LOC;dirigée par un ;"si—
gnorc de la"
613;l’;LOC; conditions de ;instruction che
614;Genève;LOC;tout l'hiver à ;. Cet hiver pas
615;dis—-;LOC;ières, nana le ;"
cours, peut—êt"
616;qu’;LOC;eut—être parce ;il ne les crut 
617;Sèﬁoﬁiourpr0pﬁ;LOC;issait métti‘è ;"

\.“—

266 ‘ o"
618;l’;LOC;"it
l‘amour; il ";eût voulue agit
619;molle—;LOC;te femme était ;" —

ment assise"
620;s’;LOC;’est—ce pas? à ;enterrer avec m
621;Française;LOC;"Elle n’est que
"; et je suis Ita
622;Italienne;LOC;ise et je suis ;"... '

… France"
623;l’;LOC; terrasse d’où ;on embrasse une
624;l’;LOC; pas compte de ;avis et la surp
625;Naples;LOC;"rons
plus qu‘à ";". - . > . .
Mal"
626;>;LOC;‘à Naples. - . ;" . .
Malgré la "
627;Paris;LOC;" -
De retour à ";, Rodolphe trou
628;Co.peinlre;LOC;Les.partraits. ; avait_passé pa
629;Genève;LOC;"it_passé par.

"; en allauten it
630;italie;LOC;ve en allauten ;. Comme il s’ét
631;Rodolphe,'enproie;LOC;"en t. _ . . .

"; & une ambition
632;Naples;LOC;"r du
courage à ";. où le prince 
633;l’;LOC; leurs biens à ;"avène—
ment du "
634;Gandolphini;LOC;ois a la villa ;", bercé
d’espér"
635;Bonheurl;LOC;u des sois, le ; Et cet infatig
636;Watteville;LOC;"ademoiselle de
"; avait lesjoues
637;pleurait,4mais;LOC;"s
veines; elle "; de rage. Cette
638;Nouvelle;LOC;de rage. Cette ;", inspirée
par "
639;Curiosité;LOC;’une infernale ;. Quelle femme 
640;j’;LOC;mot solennel : ;aime! Elle aima
641;l’;LOC;e disputer, de ;"arracher
à cett"
642;qu’;LOC;"la
musique, et ";elle 11’était'p
643;italienne,,et;LOC;" une princesse
"; s’il était aim
644;l’;LOC;rdu sommeil de ;"avocat,
pour vo"
645;so—;LOC;s liens“ de la ;"
ciété bièontin"
646;Rupt;LOC;" de
l‘hôtel_dé ";. Cette entrepr
647;l’;LOC;fim_possible à ;abbé de‘Gt‘ance
648;Bouxey;LOC;"à sa
terre des.";, j’irai! S‘il 
649;j’;LOC;re des.Bouxey, ;irai! S‘il n’y 
650;s’;LOC;ia:.t: elle en ;"és
lançant de s"
651;lunﬁèro;LOC; aller ‘voirla ;"

.

ALBERT SAV"
652;Watteville;LOC;ademoiselle de ;" fut témoin
d’u"
653;l’;LOC; honte l’un et ;"autre.

Si Mari"
654;Depnis;LOC;"s de terre. —

"; dix—sept ans a
655;l’;LOC;"atteville,
qui ";estimait fort à
656;l’;LOC;nt les lois de ;optique: il tro
657;l’;LOC;t rapproché de ;hôtel de Rupt, 
658;Rupt;LOC; de l’hôtel de ;, il ﬁt le sièg
659;kios—;LOC;ne nocturne du ;"
que est expliq"
660;l’;LOC;"voyantes, elle
";était très peu 
661;la Comtoise;LOC;it étrangement ;".

— Mariette, "
662;conti—;LOC;t Philomène en ;"
nuant, rassure"
663;rassurez—;LOC;" conti—
nuant, "; vous, je ne di
664;Sut;LOC;tte attérée ne ; rien répondre.
665;s1ècuz;LOC;"e veux, et

LE ";". - xru.

 

ab"
666;l’;LOC;"u lieu de lire
";Ordinaire de la
667;l’;LOC;hilomène, dont ;âme, la tête et
668;boule—;LOC;e cœur étaient ;"
versés par la "
669;la Nouvelle;LOC; la lecture de ;, y vit enﬁn un
670;l’;LOC;mains, et dans ;attitude d'une 
671;l’;LOC;des gens a qui ;on envoie cette
672;Crois;LOC;"e kiosque.

-— ";—tu, mon cher p
673;l’;LOC;" Revue aille
à ";"étranger ?

-— "
674;l’;LOC; des abonnés à ;"é-
tranger.

De"
675;Neufchâtel;LOC;ère en avoir à ;", à Berne, 21
G"
676;Berne;LOC; Neufchâtel, à ;", 21
Genève. On"
677;Genève;LOC;"l, à Berne, 21
";. On en envoie 
678;Italie;LOC; exemplaire en ;", mais
gratuite"
679;lac Majeur;LOC;"ampagne sur
le ";", à Belgirate.
"
680;Belgirate;LOC; lac Majeur, à ;".

-— Son nom? "
681;Argaiolo;LOC; La duchesse d’;". '

— La conna"
682;Florentine;LOC;ini, c’est une ;, une très—gran
683;Lombardie;LOC;fortunes de la ;. Leur villa su
684;lac Majeur;LOC;"r villa sur le
"; est une des cu
685;l’;LOC; curiosités de ;"Italie.

Deux' "
686;Italie;LOC;uriosités de l’;".

Deux' jours "
687;Besançon;LOC;ami, je suis à ;" pen—
» dant qu"
688;qu’;LOC;"oulu te
» dire ";au moment où le
689;Paris;LOC;horriblement à ;". Le dénoue—
» "
690;dénoue—;LOC;nt à Paris. Le ;"
» ment de la p"
691;l’;LOC;uiller, moi, à ;"activité de
» q"
692;ordon—;LOC;mpris dans une ;"
» nance sur la"
693;Savarùs;LOC;"Sava-
» ron de ";, et faire revi
694;France;LOC;ire revivre en ;" unbeau_nom
» q"
695;s’;LOC;"beau_nom
» qui ";éteint en Belgi
696;Belgique;LOC;ui s’éteint en ;, encore que je
697;Sais;LOC;"ettre. '

» Tu ";"; quelles étddë"
698;Etat;LOC;pour l’homme d’;" qui, d’ail-
» "
699;j’;LOC;" politiques,
» ";étais au désesp
700;v0yais;LOC;sespoirè je me ;“ a trente-sept
701;qu’;LOC;i ne répondait ;"à un
» besoin d"
702;l’;LOC;"un
» besoin de ";avenir au lieu 
703;s’;LOC;nir au lieu de ;adresser aux pa
704;soli—;LOC;s les endroits ;"
» taires de ce"
705;Paris;LOC;» taires de ce ; qui m’avait éc
706;Vbudrä=t-ëile;LOC;"m’a pas;

» —' "; p‘ddi‘ titeﬂ d
707;m‘en;LOC;"—dent ans! on!
"; une: Lëôpbld,d
708;l’;LOC;ôpbld,doinbieﬁ ;âme s’use dans 
709;s’;LOC;doinbieﬁ l’âme ;use dans ces pe
710;Tuileries;LOC;" le quai
» des ";, au 10 août, q
711;Éit;LOC;"m—
» me il le‘ "; plus taid sur 
712;Combien;LOC;ur quatre ans: ; de discours àl
713;bois de Boulogne;LOC;" déseftes
» au ";? ces »impi‘dvi
714;j’;LOC; scouts: enana ;étais tout peut
715;voyais;LOC;"quand
» je les "; faisant ces ef
716;néanmeihsîs’;LOC;eur “vol, sans ;envoler, quoiqu
717;BALZÀG;LOC;")

' ))
.»

DE ";".‘

au barreau "
718;Paris;LOC;"
au barreau de ";”, en voyant qu
719;j’;LOC; rivalités que ;avais observées
720;Paris;LOC; que ce soit a ;,] cette arène 
721;de Besançon;LOC;tution sociale ;", l’ini—
possib"
722;l’;LOC;e de Besançon, ;"ini—
possibilit"
723;Comtois;LOC;éputation. Les ; ne‘ vèulent pa
724;l’;LOC;ssé refusent à ;"admettre
dans l"
725;c'_o“nnais;LOC;ciales, que je ;"
déjà, je gagne"
726;j’;LOC;"pﬁ. Plus tard,
";y fondéràiuhe' 
727;j’;LOC;"naître,n'0uand
";aurai conquis u
728;char—;LOC;oudront pas sé ;"""
ger. Sij'e‘ p"
729;j’ai Ïñi';LOC;tre utiles, et ;s to‘iit, iiins
730;to‘iit;LOC; et j’ai Ïñi's ;, iiinsi que mo
731;Besançon;LOC;u roulage pour ;. J’ai pris tir
732;Besançon;LOC; m’a jeté dans ;, ou j’ai, dans
733;j’;LOC;s Besançon, ou ;ai, dans tibis‘
734;j’;LOC;"s jäi‘-‘
dins, ";y ai sompmeœems
735;j’;LOC; sont arrivés, ;"ai pris un
dome"
736;jh’;LOC;cats. Enﬁn, du ;"à hoinms

d’ofﬁ"
737;Succès;LOC; et j’ai au le ; le plus cerhpt
738;j’;LOC;ta‘itiñnoeent, ;aifaiidiamatiqu
739;Ville;LOC;"procès
aVec la "; qui dure depui
740;j’;LOC;he—Comté. Mais ;ensevelis ma vi
741;m’;LOC;ière instance, ;"a natu—
relleme"
742;natu—;LOC; instance, m’a ;"
rellement parl"
743;l’;LOC;ut—le—corps de ;"abbé) sachez
qu"
744;la Ville;LOC;"dver—
saire de ";, je suis venu 
745;Besançon;LOC;"ajorité
» dans ";, il faut que j
746;l’;LOC;" le se—
» cret ";un a l‘autre,, 
747;l’;LOC;"et
» m’a dit a ";oreille :——Les 
748;Besançon;LOC;"
» trouvé dans "; une maison à a
749;Cercle;LOC;t la jouant au ;" des
» Etranger"
750;Etrangers;LOC;"u Cercle des
» ";, dans une dern
751;gitàtibn;LOC;"la tête 1’ —
» "; fébrile, dans 
752;j’;LOC;"térieurs
» que ";ép1011ve tous l
753;l’;LOC; tte au jeu de ;ambition. Hélas
754;Chose;LOC;"iendrais
» une "; détruite, je n
755;anti—;LOC;mme le coureur ;"
» quel voir la"
756;l’;LOC;"moment '

» où ";amour s’éteint 
757;s’;LOC;"

» où l’amour ";éteint ! n’ avo
758;atta—;LOC;comme un tigre ;"
» mé autour de"
759;lac Majeur;LOC; passer sur le ; a voir les eau
760;qu’;LOC; voir les eaux ;"elle voit, à
» "
761;l’;LOC;ses regards, à ;"entendre ; je n"
762;l’;LOC;ur y conquérir ;auréole que doi
763;Argaiolo;LOC;éder a celui d’;". Bien plus,

1"
764;l’;LOC;u des joies de ;"amour
» heureux"
765;la Nouvelle;LOC;e conﬁdence de ; publiée dans l
766;l’;LOC;solitude et de ;"éner—
gie secrè"
767;l’;LOC;"e, il
s’y mêle ";enthousiasme qu
768;Watteville;LOC;ademoiselle de ; arriva—telle e
769;l’;LOC;" dangereuse de
";exaltation amou
770;l’;LOC;lle, qui, sous ;"em-
pire .de se"
771;Palais;LOC;il sufﬁsait au ;", au con—
tenti"
772;carac—;LOC;ntérêts, leurs ;"
tères, leurs d"
773;car—-;LOC;ntipatbies. Un ;"
dinal voulant "
774;MADAME;LOC;"Wattoville.

A "; LA uncnsssu D’
775;A BELGIBA‘I‘E,— Lac Majeur;LOC;"se Soderini),

";". ITALIE.

A se"
776;ITALIE;LOC;,— Lac Majeur. ;".

A ses yeux, "
777;s’;LOC;ié sa faute en ;"imposant des
pé"
778;ge—;LOC;t en restant à ;"
noux les bras "
779;Ghavoncourt;LOC;les petites de ;. L’une avait s
780;l’;LOC;"avait seize et
";autre dix—sept 
781;j’;LOC; conquêtes que ;"ai
» faites je "
782;l’;LOC;"du
» service à ";un des personna
783;Comté;LOC;"vouer àr

» la ";, que j’aime et
784;j’;LOC; la Comté, que ;aime et où je s
785;Europe;LOC; mon-paÿs. à l’;"; Mon nom le
» "
786;Besançon;LOC;"Besan—
con, et "; m’a vieilli en
787;Argaiolo;LOC;veuve du duc d’;" !

BE,!!!

‘:«"
788;t’écrirel Oui;LOC;ogrès avant de ;", mes voix
à mo"
789;l’;LOC;"née depuis""

» ";hehreus‘e‘soiré
790;j’;LOC;ux ans, et moi ;en ai trenteæin
791;Fais;LOC;"ien porter l
» "; lui mes cempli
792;parve—;LOC; . L’espoir de ;"

» hir‘me reme"
793;touj‘ours’;LOC;» hir‘me remet ;au‘lenæmaiù du 
794;t’;LOC; du jour ou je ;"ai
vue—pour la "
795;Milan;LOC;e, ne va pas à ;, reste a Belgi
796;la Scala;LOC;us les soirs à ;" avec une'dou—
"
797;regret—-;LOC;adeschi que tu ;"
es ‘_._>‘ . . "
798;Paris;LOC;"trait; -

:» à "; pour assister 
799;t’;LOC;"e Dieu : _Je
» ";"aime] ‘ '

‘o’
"
800;no—;LOC;les détails de ;"
» tre première"
801;j’;LOC;n les voilant, ;avais grand’peu
802;t’;LOC; grand’peur de ;ofr‘enser. Nous
803;Nouvelles;LOC;iens point, de ;,. et une Revue
804;j’;LOC;auydésespcii‘, ;ai pris la. seu
805;l’;LOC;"uvenirs,

» je ";ai mise au tono
806;Paris;LOC;"n mieux
» qu’à ";. Quoique je tr
807;tran—;LOC;énormément, la ;"
» 'quillité de"
808;l’;LOC;s milieux a de ;inﬂuence sur l’
809;l’;LOC;l’inﬂuence sur ;"âme. Ce quifa-
"
810;énor—;LOC;obem’a fait un ;">

» me plaisir"
811;aurais;LOC;mment adorée ! ;—je pu vivre Sa
812;tu”sav‘ais;LOC;» que pas! Si ‘; quelleest'mori
813;Alpes;LOC;parés par les, ;", ""neue vivons "
814;j’;LOC;rzäge._ Q.dand';aiplaidé pour l
815;t’;LOC;e‘foiS, je, ne ;ai‘pas encore d
816;tdm’;LOC;1’igure'yqu’e‘ ;écont‘ai‘s‘, et
817;lé‘poëte;LOC;ation qui niet ;" ati—”dessus
, "
818;A;LOC;"u'vie'hdras

, ";"

se au‘sbir.

"
819;au‘sbir;LOC;"hdras

, A

se ";".

«Mon Dieu ! "
820;"t’aimel Hélas l""j’";LOC;u ! combien je ;"ai mis trop de"""
821;t’ai vu‘e;LOC;ans‘ que je ne ;",ïet à

» l’idé"
822;l’;LOC;" vu‘e,ïet à

» ";idée d’aller à 
823;Belgirate,'moﬁ;LOC;dée d’aller à ‘; cœur bat si fo
824;souslequel“on;LOC; lumières,“ et ;" “devine
» ta n"
825;l’;LOC;"on cœur
» dans ";accent d’un : O
826;Alberta;LOC;Oimèl oud’un :‘;" ! nous pro—
» "
827;Belgirate;LOC;ais tout est à ; ‘: là ‘est-lap
828;Italien;LOC;"r.
» Est-ce un "; que le duc ? m
829;qu’;LOC;ais savoir, et ;"il
serve ﬁdèlem"
830;l’;LOC;"
donnez—moi de ";eau bien froide
831;admi—;LOC;chée par cette ;"
rable ﬁdélité "
832;respec—;LOC;se résigner, à ;"
ter le bonheur"
833;l’;LOC;x êtres dignes ;un de l’autre, 
834;l’;LOC;dignes l’un de ;"autre, soumis
F"
835;l’;LOC;serait bien de ;emporter sur un
836;Argaiolo;LOC;"e du—
chasse d’";. Dans le silen
837;pers—;LOC;a solitude, la ;"
pective de cet"
838;Philomènes;LOC;aucoup trop de ;,et cette histo
839;immen—;LOC;ait un progrès ;"
se dans Besanç"
840;Besançon;LOC;"immen—
se dans ";. Sûr de son su
841;Besançon;LOC;"es faiseurs de
";, unriche entre
842;Les‘Romains;LOC;"ence. . - ' ,

"; se sont partou
843;Sommes;LOC;nt dépensé des ; immenses poura
844;excel—;LOC;es pouravoir d’;"
lentes aux à d"
845;Besançon;LOC;"leur empire.
A ";, ils buvaient'
846;de Besançon;LOC;rande distance ;". Besançon est
"
847;Besançon;LOC;e de Besançon. ;" est
une ville="
848;l’;LOC;le=assise dans ;intérieur d’un 
849;Doubs;LOC;" décrit
par le ";. Ainsi, rétabl
850;Romains;LOC;e buvaiént les ; dans une ville
851;Doubs;LOC;"ro-
sée par le ";, est une de ce
852;Bisontins;LOC;"t au cœur; des ";",
elle devait o"
853;l’;LOC;ient proﬁter à ;homme inﬂuent. 
854;Savarus;LOC;"ert Savaron
de "; décida quete D
855;l’;LOC; ne furent que ;expression des 
856;Nobles;LOC;"i-
sontin. Les "; comme les Bour
857;Bourgeois;LOC;bles comme les ;, le Juste—mili
858;Légitimistes;LOC;"lieu
comme les ";, le Gouverneme
859;Gouvernement;LOC;gitimistes, le ;" comme l’0ppo—
"
860;"l’0ppo—
sition";LOC;ernement comme ;, enﬁn tout le 
861;l’;LOC;d’Arcier fut à ;ordre du jour d
862;Besançon;LOC;" Be-
sançon. A ";, comme pour le
863;Versailles;LOC;"mins de fer
de ";, comme pour de
864;l’;LOC;deux _plans de ;avocat Savaron.
865;Savaron;LOC;ns de l’avocat ;". Après
dix—hui"
866;de France;LOC; plus immobile ;" et la
plus réf"
867;l’;LOC; réfractaire à ;étranger, à la 
868;puis—;LOC;roblème d’étre ;"
sant quelque p"
869;de Besançon;LOC;cclésiastiques ;".
Aussi par mom"
870;Cham—;LOC;ce l’air de la ;"
bre. Son cœur "
871;triom—;LOC;e de son futur ;"
phe. Cet immen"
872;l’;LOC;ement était de ;"u—
sure morale,"
873;l’;LOC;"rable
que tout ";or du monde. Il
874;Savarus l’;LOC;"rquable,
dit à ";abbé de Grancey
875;l’;LOC;it et devinait ;avocat .Le vica
876;l’;LOC;es conseils de ;"avo-
cat. —— Vo"
877;Savarus;LOC;mot qui frappa ;".

De son côté,"
878;l’;LOC;"le salon
et de ";introduirc dans
879;Rupt;LOC; de l’hôtel de ;". Elle bor-
nai"
880;l’;LOC;ir Albert et à ;entendre. Elle 
881;Watteville;LOC;trimoniale des ;", valait dix
mi"
882;Watteville;LOC;"e de la maison
";, appelé Modini
883;Modinier;LOC;eville, appelé ;. Néanmoins, qu
884;Watteville;LOC;" par le
fameux ";, dont la vieil
885;Ilouxey;LOC;nd et le petit ;", cumi-
lieu d’"
886;Dent de' Vilaid;LOC;"i-
nées par la ";, tombent et vo
887;du Doubs;LOC;ieuses sources ;, Wattevilleima
888;qu’;LOC;tes les terres ;il fallut enlev
889;“ï;LOC;"-;:.,‘ "".”-“:.…";"? "". .

392 ' D"
890;Dent de “;LOC;" au
pied de la ";Viard, Mais ce 
891;Dent de Vitara;LOC;"
au pied de la ";”! par une fort
892;Romy;LOC;"s
la ecran des "; a .dl”°iiﬂ et 
893;"vi.—
1ard:—";LOC;auche du pm de ; Il mourut avan
894;Pont de Ward;LOC;connais une le ;".
âes héritiers"
895;Vetterille;LOC; le vieil abbé ;" ﬁ:Vîiit ﬁ.;m s"
896;"ﬁ.;m";LOC;erille ﬁ:Vîiit ;" se carnère
en "
897;Rooney;LOC; d’un des deux ;, stem rermenal
898;dépen—;LOC;te. habitation ;"
durent des dom"
899;qu’;LOC;suiﬁse de dite ;elle. obéissait
900;Décidément;LOC;"estsur un lac;
"; un les est ple
901;lionmy;LOC;mme .eeiui des ; . entre deux» 
902;qu’;LOC;ne de, sapins, ;il ef règne un 
903;l’;LOC;s gagnerehs de ;appétit pour le
904;déjeu—;LOC;ppétit pour le ;"
Le baron mande"
905;Quelquefois ﬁll;LOC;ns de. largeuä ;)“, en douze, ,
906;lez;LOC;" hiﬁ-Que, vou:
";—vous venir” no
907;"Êt ﬁt;—=elle";LOC;le esntestaﬁon-;… - î . ,- , . 
908;.uMûdùlﬂ0iÿ9ﬂé;LOC;" î . ,- , . -
'";, les gansdos m
909;.....;LOC;___— .» , . .. ;"….,....

depuis"
910;Dent de Vilard;LOC;"ur

côté de la ";. Or, monsieur 
911;Riceys;LOC;es anciens des ;", que
le terrai"
912;Watteville;LOC;nt monsieur de ;. Cette terre e
913;usurpa—;LOC; terre est une ;"
tion consacrée"
914;j’;LOC;de Villard, et ;"y bâtirais un
m"
915;Riceys;LOC;e.menacer les ’;". . ' . ‘

.—.."
916;l’;LOC;" la Dent
ou de ";autre, àlune ha
917;Vilardwetæ;LOC;"ait la Dent
de."; espèce de mur 
918;Rioeys;LOC;"la commune
des "; et les Rooney,
919;Rooney;LOC; Rioeys et les ;, qui ne rappor
920;l’;LOC;ge six mois de ;année, était de
921;l’;LOC;ussi fallut—il ;ardeur soufﬂée 
922;Riceys;LOC;"nit, maire
des ";, voulaitalre“m
923;Suisse;LOC;e frontière.de ;”, et immortali
924;Neufchâtel;LOC;" originaire
de ";". ,"" 1 _ .

_' "
925;j’;LOC;"ans la
barque, ";approuve Modini
926;Modinier;LOC;ue, j’approuve ;. Si vous Voule
927;Voulez;LOC;inier. Si vous ; obtenir la mi—
928;l’;LOC;i vous mette à ;"abri

des entre"
929;prenez—;LOC;ameux Savaron, ;"
le promptement"
930;Ville;LOC;itre contre la ; gagnera bien c
931;Watteville;LOC;bien celle des ;"
contre les Rio"
932;Rooney;LOC;bases des deux ;", je
découperai"
933;Allons;LOC;"f—
vissans.,.. "; _? Besançon, ,
934;Besançon;LOC;.,.. Allons _? ;, ,otnerevenons
935;l’;LOC;"ns içi qu’ayoe
";abbé de Graneoy
936;l’;LOC;"elle le
peut. (";est. alors que 
937;-.-;LOC;he., ' , ! , - ;", . ,
. .—=.— o"
938;t’;LOC;vie,. l‘on va, ;on vient, l’on 
